variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,atlas,medida,hemi,roi,tipo,familia_fdr,ajusta_etiv,modelo,p_fdr,sobrevive_fdr,n_familia
ctx_DKT_thickness_lh_caudalanteriorcingulate,46,"Q('ctx_DKT_thickness_lh_caudalanteriorcingulate') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.7964072727149036,2,40,0.4579664186789866,0.5306769924460643,0.4662668665667166,0.03829542585270476,0.00030899201211809197,0.14198274395072624,0.5763395937277789,0.7668886739865174,0.8915262594048593,19,17,10.0,2.589470588235294,2.558263157894737,2.6223,-0.02724694336020539,-0.1945525128947832,-0.9915576760725537,0.814808111259247,0.6413029892415681,0.040856926464683696,0.291732456289793,-0.38097611452722985,0.9569769227501038,0.3928318413221519,A4,DKT,thickness,lh,caudalanteriorcingulate,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_caudalmiddlefrontal,46,"Q('ctx_DKT_thickness_lh_caudalmiddlefrontal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.2494694129115875,2,40,0.2976035480119895,0.29965065129097856,0.3153423288355822,0.058800028774007224,0.00021899624799180664,0.18890659962289463,0.2862852614976052,0.16868108331854204,0.2924574416960336,19,17,10.0,2.669705882352941,2.6365263157894736,2.7191,-0.024394979298268282,-0.201659595228536,-1.3326860133089258,0.8423529313936906,0.6292041345316703,0.04731118348748786,0.3910949870142773,-0.5270763663179289,1.0064771949688507,0.25371322503325355,A4,DKT,thickness,lh,caudalmiddlefrontal,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_cuneus,46,"Q('ctx_DKT_thickness_lh_cuneus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.8589963256192954,2,40,0.43125263454963764,0.3564811559231171,0.42828585707146427,0.041181095782842854,0.0005710821495101309,0.13774783328501683,0.3127575912041243,0.7555291979500305,0.21728520978239793,19,17,10.0,1.9196470588235295,1.9335263157894738,1.9975999999999998,-0.06394994594676318,-0.5280719415049531,-1.2854688975542092,0.21609835947024494,0.2099457456193685,-0.010607795671041781,-0.08759474573689455,-0.9157868589949583,0.7100047359382262,0.7966792051909847,A4,DKT,thickness,lh,cuneus,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_entorhinal,46,"Q('ctx_DKT_thickness_lh_entorhinal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.09435791442942128,2,40,0.9101589479464236,0.9112145270244348,0.9080459770114943,0.004695741701787069,0.0001509962463848271,0.012949566884523955,0.8174265060200572,0.5277267163995273,0.13437364878236946,19,17,10.0,2.799,2.805,2.8431,-0.006564886076182219,-0.041281549538185455,-0.8608237809130409,0.8038360176701596,0.9211519121203564,-0.022844944161519165,-0.14365438838647374,-0.8044167966008665,0.5772837889654433,0.6728499851609837,A4,DKT,thickness,lh,entorhinal,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_fusiform,46,"Q('ctx_DKT_thickness_lh_fusiform') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.8803642665193239,2,40,0.422511463310979,0.39844778660338154,0.41179410294852575,0.04216230403273885,0.0004100080385286072,0.15096400901040438,0.32514693877076184,0.46740440185032456,0.8573252380741685,19,17,10.0,2.655176470588235,2.6279473684210526,2.6945,-0.019802756259982512,-0.22051953734723026,-1.100905490076991,0.5611259926435419,0.5976012500000497,0.026606697138882862,0.29628686362519036,-0.503763529214017,1.0170251623805016,0.38555422264406397,A4,DKT,thickness,lh,fusiform,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_inferiorparietal,46,"Q('ctx_DKT_thickness_lh_inferiorparietal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.16790228577396607,2,40,0.8460291817859484,0.854945344941305,0.8530734632683659,0.008325223089384015,0.00012215248846401532,0.024657723269025607,0.9548229021115696,0.7421512003561626,0.85728790436239,19,17,10.0,2.5244117647058824,2.52,2.5214,0.025499318975034768,0.23909659424598323,-0.5336710573293099,1.0546093790080153,0.5672241453942278,0.010549557328018266,0.09891884682886842,-0.6253091396947149,0.9452959935661744,0.7711110991590813,A4,DKT,thickness,lh,inferiorparietal,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_inferiortemporal,46,"Q('ctx_DKT_thickness_lh_inferiortemporal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.11609079492234106,2,40,0.89069326836866,0.8864114759036825,0.8925537231384307,0.005771041506317145,5.4667946595734634e-05,0.017820876614952692,0.6505272832397426,0.8253993688781953,0.9646061500549713,19,17,10.0,2.7728823529411764,2.7731052631578947,2.8343,-0.018114069364126628,-0.1591959720545438,-1.0902039934854995,0.6960575297945134,0.7029175200712987,0.0039024528648293755,0.03429680900106819,-0.7185006799719981,0.786657128303177,0.9196180267842436,A4,DKT,thickness,lh,inferiortemporal,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_isthmuscingulate,46,"Q('ctx_DKT_thickness_lh_isthmuscingulate') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.5762543603509321,2,40,0.566596012989267,0.6124437451226317,0.5422288855572214,0.028005794944940793,0.0003000442607702071,0.11509438155734968,0.7089684897722599,0.5861419981415711,0.8227037011430121,19,17,10.0,2.337705882352941,2.299526315789474,2.3525,-0.006740314208729115,-0.054215411479433456,-0.9723782939413953,0.7240342114913209,0.8965750094859362,0.03823843354569667,0.3075691050610238,-0.5375933355283927,1.0483962198212704,0.3678972038302182,A4,DKT,thickness,lh,isthmuscingulate,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_lateraloccipital,46,"Q('ctx_DKT_thickness_lh_lateraloccipital') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.45653400891145085,2,40,0.636735213767011,0.6658571375429903,0.6486756621689156,0.02231727079047563,0.00023968779651256308,0.09583932452962864,0.697672368546037,0.9776180157763211,0.6636812366038018,19,17,10.0,2.1334117647058823,2.1372105263157892,2.1802,-0.03186814138409333,-0.293508868520363,-1.0746037988089425,0.644609668519327,0.48291774269675375,0.01036045764362864,0.09542088331051579,-0.6366342734700635,0.8536651209498324,0.7789829368249835,A4,DKT,thickness,lh,lateraloccipital,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
ctx_DKT_thickness_lh_lateralorbitofrontal,46,"Q('ctx_DKT_thickness_lh_lateralorbitofrontal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.3863719017737937,2,40,0.682026203383843,0.7207900639293165,0.6986506746626686,0.01895246018445175,0.00013959481523621384,0.06693188714142122,0.40812155614828016,0.012081109387801934,0.533066982312644,19,17,10.0,2.593,2.587842105263158,2.653,-0.03606284173530594,-0.3013055397639464,-1.2314444931519621,0.5109818031541868,0.4714418647372037,0.005700711850052054,0.04762952608188541,-0.6020218819946399,0.7451669829041139,0.8885519952022762,A4,DKT,thickness,lh,lateralorbitofrontal,C,DKT_thickness,False,A4_tres_grupos,0.9827253040146593,False,62
