variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
11_lateraloccipital_thickness_rh,Occipital lateral,rh,thickness,CSE_NI,46,0.1604124681324385,0.31019690862408483,-0.1719197056553254,0.43054688875238206,Edad+Genero+Grupo,-0.2310949691397386,17,0.35551226543140857,19,,10,thickness_CSE_NI,B,0.8257500950594969,False,18,1,2,False
11_lateraloccipital_thickness_rh,Occipital lateral,rh,thickness,EntropyRatio_NI,46,0.1468679641754181,0.35333739675918496,-0.18809227983133658,0.4258038042144025,Edad+Genero+Grupo,0.19430084415236956,17,0.374339575277394,19,,10,thickness_EntropyRatio_NI,B,0.6540486566092115,False,18,2,2,True
11_lateraloccipital_area_lh,Occipital lateral,lh,area,CSE_NI,46,0.1414024734040605,0.3778525482851281,-0.13762436724632837,0.4182798242948232,Edad+Genero+Grupo+eTIV,0.21471754168164037,17,0.3219901503083697,19,,10,area_CSE_NI,B,0.7362700599527033,False,18,2,2,True
11_lateraloccipital_area_lh,Occipital lateral,lh,area,EntropyRatio_NI,46,0.10531445710609078,0.5122659551987234,-0.2561730564238655,0.37712490487423983,Edad+Genero+Grupo+eTIV,-0.17685299454649103,17,0.37843131338292696,19,,10,area_EntropyRatio_NI,B,0.8141353196532477,False,18,1,2,False
11_lateraloccipital_area_rh,Occipital lateral,rh,area,CSE_NI,46,0.21847419579244554,0.16997037324216657,-0.08730705502372979,0.4787434225649184,Edad+Genero+Grupo+eTIV,0.32553180236096796,17,0.3254648420018904,19,,10,area_CSE_NI,B,0.43706667405128546,False,18,2,2,True
11_lateraloccipital_area_rh,Occipital lateral,rh,area,EntropyRatio_NI,46,0.18242460384222278,0.253630829784998,-0.1365441577283669,0.4683910163803096,Edad+Genero+Grupo+eTIV,-0.084577183461829,17,0.43075287013784075,19,,10,area_EntropyRatio_NI,B,0.7409055820695348,False,18,1,2,False
11_lateraloccipital_volume_lh,Occipital lateral,lh,volume,CSE_NI,46,0.20441688776279118,0.19983709601916988,-0.05490424613204074,0.464238776618635,Edad+Genero+Grupo+eTIV,-0.0027684909923365456,17,0.4463834594810994,19,,10,volume_CSE_NI,B,0.9510861798303317,False,70,1,2,False
11_lateraloccipital_volume_lh,Occipital lateral,lh,volume,EntropyRatio_NI,46,0.21545596045656776,0.1760944773950832,-0.14325616244093475,0.499518742620029,Edad+Genero+Grupo+eTIV,-0.19110546352512423,17,0.5949442952153018,19,,10,volume_EntropyRatio_NI,B,0.8547613156626654,False,70,1,2,False
11_lateraloccipital_volume_rh,Occipital lateral,rh,volume,CSE_NI,46,0.1923526356129657,0.2282577856154238,-0.0901248233388661,0.4332280917452293,Edad+Genero+Grupo+eTIV,0.011576885611764037,17,0.3677792492320581,19,,10,volume_CSE_NI,B,0.9510861798303317,False,70,2,2,True
11_lateraloccipital_volume_rh,Occipital lateral,rh,volume,EntropyRatio_NI,46,0.16899557515918145,0.2908513019960963,-0.1385027124632492,0.4558626069368777,Edad+Genero+Grupo+eTIV,-0.18022196003459692,17,0.4717405209735503,19,,10,volume_EntropyRatio_NI,B,0.8716044516344055,False,70,1,2,False
11_lateraloccipital_LGI_lh,Occipital lateral,lh,LGI,CSE_NI,45,-0.07680752510779251,0.6331449934695856,-0.376783399105858,0.2589977378185985,Edad+Genero+Grupo,-0.32161325235621013,17,0.1711091830107695,18,,10,LGI_CSE_NI,B,0.7597739921635027,False,18,1,2,False
11_lateraloccipital_LGI_lh,Occipital lateral,lh,LGI,EntropyRatio_NI,45,-0.14492114921470017,0.3659761053951914,-0.43919539689928566,0.14600207356193196,Edad+Genero+Grupo,-0.518800066008209,17,0.19044398254385767,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,1,2,False
11_lateraloccipital_LGI_rh,Occipital lateral,rh,LGI,CSE_NI,45,0.0896882095774356,0.5770829511115776,-0.3147797305512498,0.4296847775559814,Edad+Genero+Grupo,0.13017782981149664,17,0.19865188841372172,18,,10,LGI_CSE_NI,B,0.7597739921635027,False,18,2,2,True
11_lateraloccipital_LGI_rh,Occipital lateral,rh,LGI,EntropyRatio_NI,45,-0.06572713896439922,0.6830638426320047,-0.42273184425721744,0.26773610406859233,Edad+Genero+Grupo,0.026979487932224062,17,0.20390890855028845,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,0,2,False
12_cuneus_thickness_lh,Cuneus,lh,thickness,CSE_NI,46,0.15189017810642463,0.3369339289175521,-0.14779721886841476,0.42516558333512383,Edad+Genero+Grupo,0.12570813946234338,17,0.2132544217456042,19,,10,thickness_CSE_NI,B,0.8257500950594969,False,18,2,2,True
12_cuneus_thickness_lh,Cuneus,lh,thickness,EntropyRatio_NI,46,0.08716849343797914,0.5830640186013732,-0.2358338914842028,0.36038266307682015,Edad+Genero+Grupo,0.11087870549242358,17,0.2545712512847561,19,,10,thickness_EntropyRatio_NI,B,0.7482753102305698,False,18,2,2,True
12_cuneus_thickness_rh,Cuneus,rh,thickness,CSE_NI,46,0.21910970838812113,0.16327307334503813,-0.14056529255097674,0.49204048777024206,Edad+Genero+Grupo,0.06338445328857518,17,0.32050607353430116,19,,10,thickness_CSE_NI,B,0.8257500950594969,False,18,2,2,True
12_cuneus_thickness_rh,Cuneus,rh,thickness,EntropyRatio_NI,46,0.10031946915217596,0.527307286135185,-0.27541988311263355,0.4045356971088242,Edad+Genero+Grupo,0.366880996570656,17,0.0925714463378025,19,,10,thickness_EntropyRatio_NI,B,0.7482753102305698,False,18,2,2,True
12_cuneus_area_lh,Cuneus,lh,area,CSE_NI,46,0.2616265146039147,0.0984649087603146,-0.04888343926963315,0.5308605003307983,Edad+Genero+Grupo+eTIV,0.2458999684682675,17,0.042339934352540985,19,,10,area_CSE_NI,B,0.4327470270733143,False,18,2,2,True
12_cuneus_area_lh,Cuneus,lh,area,EntropyRatio_NI,46,0.09785262063508707,0.5427568797688318,-0.19245971163553346,0.4123974493218149,Edad+Genero+Grupo+eTIV,0.03152438970851506,17,0.011361556473841215,19,,10,area_EntropyRatio_NI,B,0.8141353196532477,False,18,2,2,True
12_cuneus_area_rh,Cuneus,rh,area,CSE_NI,46,0.37286638960639384,0.01635154745186288,0.09534617942620835,0.5991037617889646,Edad+Genero+Grupo+eTIV,-0.04763045819467159,17,0.46810045381408283,19,,10,area_CSE_NI,B,0.14716392706676595,False,18,1,2,False
12_cuneus_area_rh,Cuneus,rh,area,EntropyRatio_NI,46,0.28875548965700215,0.06710363785082227,0.018325657959239777,0.5591351207874224,Edad+Genero+Grupo+eTIV,-0.014498863798194933,17,0.34385664298344415,19,,10,area_EntropyRatio_NI,B,0.6039327406574004,False,18,1,2,False
