variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
2_supramarginal_volume_rh,Giro supramarginal,rh,volume,EntropyRatio_NI,46,0.3880448531363278,0.012177487217291023,0.12426217263357366,0.6068785215634671,Edad+Genero+Grupo+eTIV,0.5948285605614078,17,0.25739571009011863,19,,10,volume_EntropyRatio_NI,B,0.19483979547665636,False,16,2,2,True
2_supramarginal_LGI_lh,Giro supramarginal,lh,LGI,CSE_NI,45,0.18054652322508166,0.2586348210917867,-0.09101090339470064,0.4610621719754522,Edad+Genero+Grupo,0.2311171827983306,17,0.2876205656195976,18,,10,LGI_CSE_NI,B,0.6043384467853379,False,14,2,2,True
2_supramarginal_LGI_lh,Giro supramarginal,lh,LGI,EntropyRatio_NI,45,-0.1010318374817827,0.5296602880007583,-0.3814593462701179,0.21101800732611925,Edad+Genero+Grupo,0.07871733773681634,17,0.02629664065106345,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,0,2,False
2_supramarginal_LGI_rh,Giro supramarginal,rh,LGI,CSE_NI,45,-0.05369781122016609,0.7388012009687128,-0.33010078652284736,0.23228786151302647,Edad+Genero+Grupo,-0.15444102147940508,17,0.2253025404750109,18,,10,LGI_CSE_NI,B,0.7956320625816907,False,14,1,2,False
2_supramarginal_LGI_rh,Giro supramarginal,rh,LGI,EntropyRatio_NI,45,-0.15350902112637801,0.3379440871070521,-0.47890547916282744,0.16124809433723564,Edad+Genero+Grupo,-0.1182202033517948,17,0.13765427697827745,18,,10,LGI_EntropyRatio_NI,B,0.8982939080061468,False,14,1,2,False
3_superiortemporal_thickness_lh,Temporal superior,lh,thickness,CSE_NI,46,0.3220467507449094,0.03753586501223291,-0.005361990278994382,0.5642073065850282,Edad+Genero+Grupo,0.19884296128167656,17,0.43956636807125965,19,,10,thickness_CSE_NI,B,0.22102904893504588,False,14,2,2,True
3_superiortemporal_thickness_lh,Temporal superior,lh,thickness,EntropyRatio_NI,46,0.389524700217246,0.010777757586513,0.06753510082455245,0.6047973396496675,Edad+Genero+Grupo,0.4669755513766177,17,0.4960484272485758,19,,10,thickness_EntropyRatio_NI,B,0.07544430310559101,False,14,2,2,True
3_superiortemporal_thickness_rh,Temporal superior,rh,thickness,CSE_NI,46,0.05389580266110795,0.7346170145088683,-0.2591044962071186,0.3483510305908394,Edad+Genero+Grupo,-0.3125141951075574,17,0.29350955890542757,19,,10,thickness_CSE_NI,B,0.791126015624935,False,14,1,2,False
3_superiortemporal_thickness_rh,Temporal superior,rh,thickness,EntropyRatio_NI,46,0.1167889519730951,0.4613877943385555,-0.190124791131254,0.38773132122156173,Edad+Genero+Grupo,0.013739729503887126,17,0.327369364097258,19,,10,thickness_EntropyRatio_NI,B,0.6419551465635113,False,14,2,2,True
3_superiortemporal_area_lh,Temporal superior,lh,area,CSE_NI,46,0.08802220197545252,0.584206208927911,-0.22093291283058653,0.47320610521103346,Edad+Genero+Grupo+eTIV,-0.07403127305383732,17,0.01789575706227757,19,,10,area_CSE_NI,B,0.9087652138878615,False,14,1,2,False
3_superiortemporal_area_lh,Temporal superior,lh,area,EntropyRatio_NI,46,0.1258375000707219,0.4330643009924676,-0.23041508916373543,0.48164613512335525,Edad+Genero+Grupo+eTIV,0.14173036766298974,17,0.05093644556989277,19,,10,area_EntropyRatio_NI,B,0.7166391190797449,False,14,2,2,True
