variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi_n,roi,hemi,medida,familia_fdr,ajusta_etiv,prioridad,modelo,p_fdr,sobrevive_fdr,n_familia
AI_12_area,36,"Q('AI_12_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.8908904073209304,1,31,0.3525348157110814,0.3930954267921494,0.34336566343365665,0.027935576459051016,3.570363870318911e-05,0.214970108110741,0.31820301451811916,0.6350510333136721,0.48209684158880967,19,17,,0.02136368934617973,0.007491332636105184,,,,,,,0.011576906535152642,0.3196671126510448,-0.45884211890130383,1.103218038760829,0.35253481571108264,C3,12,Cuneus,AI,area,area,False,media,dirigido_MPPP_vs_Vest,0.7849061247721382,False,16
AI_12_thickness,36,"Q('AI_12_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",2.6732703785441054,1,31,0.11216161188070341,0.10944882013115281,0.11298870112988701,0.0793884986071165,2.964249470425081e-05,0.2965581904736971,0.04420321327563909,0.01809188717718158,0.7178786552907221,19,17,,-0.008779742205812199,0.00723562830183663,,,,,,,-0.015104706384960495,-0.5537417388024731,-1.2316939997683378,0.2742296758788504,0.11216161188070413,C3,12,Cuneus,AI,thickness,thickness,False,media,dirigido_MPPP_vs_Vest,0.6026064060260641,False,16
AI_12_volume,36,"Q('AI_12_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.06490295567751703,1,31,0.8005905330142864,0.8034515160892003,0.8076192380761924,0.002089269545445503,1.6693606246713402e-09,0.020488802986716254,0.7393462921707448,0.15436805197197978,0.6714112700351335,19,17,,0.006842521968382463,0.0084903122426565,,,,,,,-0.004381607241764946,-0.08628157307688168,-0.8029038695683925,0.638703716739466,0.8005905330142793,C3,12,Cuneus,AI,volume,volume,False,media,dirigido_MPPP_vs_Vest,0.9190192091901921,False,20
AI_13_LGI,35,"Q('AI_13_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.5951150700052723,1,30,0.4464820740044582,0.4448073804895407,0.4540545945405459,0.01945131007494425,7.053750876916515e-07,0.17425277367845468,0.3728579363951783,0.17980621563577598,0.633802388102878,18,17,,0.005559083517521178,0.002311735010249273,,,,,,,0.004336033257219873,0.2643211244701856,-0.5153217903826883,1.01281415520271,0.44648207400445616,C3,13,Temporal medio,AI,LGI,LGI,False,media,dirigido_MPPP_vs_Vest,0.9635036496350365,False,16
AI_13_area,36,"Q('AI_13_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.6458521875943227,1,31,0.4277192011692762,0.4344070069544048,0.43295670432956707,0.02040874689566764,1.358669406415308e-05,0.17441479732324225,0.401065531261771,0.5143917546916794,0.27214979387447885,19,17,,0.007108141665133826,-0.004760904685988024,,,,,,,0.009469047710531487,0.27217760265389085,-0.46279883475846406,0.9329807780200811,0.42771920116927853,C3,13,Temporal medio,AI,area,area,False,media,dirigido_MPPP_vs_Vest,0.7849061247721382,False,16
AI_13_thickness,36,"Q('AI_13_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.4984004750705337,1,31,0.48547590422640846,0.4812793639893379,0.49665033496650335,0.015823040775197257,1.8121920456802945e-06,0.13371583054396258,0.5577280486714316,0.42553695353825394,0.9145116255339992,19,17,,-0.012901003654504714,-0.009126170482557167,,,,,,,-0.003764225530726268,-0.23909750311651357,-0.8812348082643455,0.4619713577353687,0.48547590422640646,C3,13,Temporal medio,AI,thickness,thickness,False,media,dirigido_MPPP_vs_Vest,0.8584741525847415,False,16
AI_13_volume,36,"Q('AI_13_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.424664925687551,1,31,0.5194209123905055,0.5296667773200741,0.5257474252574742,0.013513745546429548,1.4533020197183468e-06,0.12492831992615411,0.4375454955608403,0.8298300464077031,0.7173128222197743,19,17,,-0.006371501377292504,-0.018096924537796825,,,,,,,0.009242491713318219,0.22070339480758852,-0.5774823704090998,0.913184646550305,0.5194209123905023,C3,13,Temporal medio,AI,volume,volume,False,media,dirigido_MPPP_vs_Vest,0.7510677503678204,False,20
AI_14_LGI,35,"Q('AI_14_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",1.8363328247049007,1,30,0.18549789251817994,0.23101815564170552,0.18298170182981702,0.057680412967661646,7.206602367800905e-05,0.33367514309936047,0.04767038065616099,0.019861913973958263,0.3044018731417646,18,17,,-0.014654308185594545,-0.021334765320756132,,,,,,,0.00562122323770404,0.46430899566882133,-0.37015268557213504,1.2868659448222286,0.18549789251817997,C3,14,Cingulada anterior,AI,LGI,LGI,False,media,dirigido_MPPP_vs_Vest,0.5855414458554145,False,16
AI_14_area,36,"Q('AI_14_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.9551858218595776,1,31,0.33596855100353196,0.4025865849507728,0.34136586341365865,0.02989141816243684,5.5000477916378505e-05,0.22161664034946116,0.18849886781382444,0.9508881996931657,0.7849215815711439,19,17,,0.17584175946490993,0.1498260879822856,,,,,,,0.025453875437309155,0.33100133908537616,-0.36341569599252616,1.1713136876170651,0.33596855100353284,C3,14,Cingulada anterior,AI,area,area,False,media,dirigido_MPPP_vs_Vest,0.7849061247721382,False,16
AI_14_thickness,36,"Q('AI_14_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",3.3728132929867845,1,31,0.07588655906784432,0.11753101954725957,0.07649235076492351,0.09812444690626916,0.0001669051113730492,0.39623456261478507,0.0379370942547243,0.264997637720244,0.07983677165524745,19,17,,0.032828852348537045,0.017912756391683108,,,,,,,0.014881595522803947,0.6219879448625235,-0.27750931003811274,1.5656793375705609,0.07588655906784446,C3,14,Cingulada anterior,AI,thickness,thickness,False,media,dirigido_MPPP_vs_Vest,0.6026064060260641,False,16
AI_14_volume,36,"Q('AI_14_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",1.2464140232886927,1,31,0.2728175610591109,0.3547376493391473,0.26807319268073193,0.03865279476931976,0.00010026811778655052,0.2795452912058648,0.17807030849960537,0.31793022251416203,0.30381249911516645,19,17,,0.18274819718257915,0.14720570191389215,,,,,,,0.03460328986669165,0.37810896991733606,-0.36060749400988495,1.2957906454236117,0.2728175610591101,C3,14,Cingulada anterior,AI,volume,volume,False,media,dirigido_MPPP_vs_Vest,0.7510677503678204,False,20
AI_15_LGI,35,"Q('AI_15_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.34880622656565957,1,30,0.559213019582434,0.6094179336998397,0.5603439656034397,0.011493243719759032,1.2327961708431035e-06,0.10938157786115482,0.5974447210466238,0.5710272530131391,0.5817393166352689,18,17,,-0.007094996783404556,-0.003473089657306538,,,,,,,-0.004257287726618153,-0.2023594608786445,-0.9161933924500318,0.6424924939333672,0.5592130195824337,C3,15,Prefrontal dorsolateral,AI,LGI,LGI,False,media,dirigido_MPPP_vs_Vest,0.9652368096523681,False,16
AI_15_area,36,"Q('AI_15_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.06928378706085206,1,31,0.7941241293056267,0.8292450081140517,0.8202179782021798,0.0022299769616738333,4.398909894240706e-08,0.021156813448222202,0.7633903885467929,1.4569827200621413e-05,0.22164114502778337,19,17,,-0.024628973219697946,-0.01446033117918819,,,,,,,-0.006024127622468102,-0.08914595177848599,-0.8757448034284723,0.8633981893105113,0.7941241293056068,C3,15,Prefrontal dorsolateral,AI,area,area,False,media,dirigido_MPPP_vs_Vest,0.8202179782021798,False,16
AI_15_thickness,36,"Q('AI_15_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",4.186816348493304,1,31,0.04930150931285811,0.06555626477432201,0.05299470052994701,0.11898821157977775,0.0005483377357937907,0.3433411181312402,0.05937470446699903,0.39071390487940927,0.8337281961756341,19,17,,0.01521416822401157,0.0053435228049570046,,,,,,,0.010028979127628297,0.6929912844833294,-0.08601928139695401,1.356363462787709,0.04930150931285816,C3,15,Prefrontal dorsolateral,AI,thickness,thickness,False,media,dirigido_MPPP_vs_Vest,0.6026064060260641,False,16
AI_15_volume,36,"Q('AI_15_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.006218472073458335,1,31,0.9376529748055001,0.9475062393646608,0.9486051394860514,0.0002005556427030649,7.784586574584406e-08,0.0005367618903711177,0.9620897789439782,1.2736315920769865e-05,0.3815381632096399,19,17,,-0.008748852683344134,-0.006181993857087963,,,,,,,0.0019193580942269556,0.02670715710480393,-0.8666869213217755,0.9283504200992232,0.9376529748055675,C3,15,Prefrontal dorsolateral,AI,volume,volume,False,media,dirigido_MPPP_vs_Vest,0.9486051394860514,False,20
