variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
5_parahippocampal_thickness_lh,Corteza parahipocampal,lh,thickness,DHI,30,0.0011955275202210867,0.9952780055187378,-0.42131625640971365,0.4368986003850679,Edad+Genero+Grupo,0.11075683844864176,13,-0.22728159365154763,17,thickness_DHI,B,0.9952780055187378,False,32,1,2,False
5_parahippocampal_thickness_rh,Corteza parahipocampal,rh,thickness,Niigata,31,-0.35139978772638947,0.06670836939268471,-0.7015011255843057,0.0493682945402644,Edad+Genero+Grupo,-0.4032868509460777,14,-0.09315931113194255,17,thickness_Niigata,B,0.10673339102829553,False,32,2,2,True
5_parahippocampal_thickness_rh,Corteza parahipocampal,rh,thickness,DHI,30,-0.06973864765628829,0.7296081018913356,-0.454736722906162,0.2995590837263727,Edad+Genero+Grupo,0.051113181408675386,13,-0.10792826224499012,17,thickness_DHI,B,0.7782486420174247,False,32,1,2,False
5_parahippocampal_area_lh,Corteza parahipocampal,lh,area,Niigata,31,-0.030823508727277744,0.8786972906436341,-0.4786787611959331,0.3898334385787705,Edad+Genero+Grupo+eTIV,-0.08021363148836033,14,-0.014511322482487462,17,area_Niigata,B,0.9521610544565831,False,32,2,2,True
5_parahippocampal_area_lh,Corteza parahipocampal,lh,area,DHI,30,-0.019147479551958897,0.9260307641983402,-0.42804036585635696,0.359624405398564,Edad+Genero+Grupo+eTIV,0.14835546415404982,13,-0.10095087113049765,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,Niigata,31,0.10033765759367913,0.6185129289228006,-0.3990977178666458,0.5256560333484371,Edad+Genero+Grupo+eTIV,-0.4132673078099417,14,0.06452603735147605,17,area_Niigata,B,0.7829512159691047,False,32,1,2,False
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,DHI,30,0.13161569195553752,0.5215860719451966,-0.30996760191711625,0.4724659797925045,Edad+Genero+Grupo+eTIV,-0.31690159114007493,13,0.1806096060903589,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,Niigata,31,-0.3952096905522115,0.04131932727916773,-0.7012389711084339,0.016807330210886016,Edad+Genero+Grupo+eTIV,-0.37954535641495557,14,-0.38969767780920966,17,volume_Niigata,B,0.3950027415269783,False,86,2,2,True
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,DHI,30,-0.04380798344068253,0.8317220817345305,-0.41462956499372877,0.3821975217248602,Edad+Genero+Grupo+eTIV,0.02714075175649343,13,-0.266231338723888,17,volume_DHI,B,0.9170269106303799,False,86,1,2,False
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,Niigata,31,-0.26946875534793485,0.17406889146297141,-0.6861386140051262,0.19417832435222385,Edad+Genero+Grupo+eTIV,-0.564413951259048,14,-0.18399174303661867,17,volume_Niigata,B,0.5162042988212255,False,86,2,2,True
5_parahippocampal_volume_rh,Corteza parahipocampal,rh,volume,DHI,30,0.0388985913110167,0.8503586096525169,-0.4250273929967965,0.4064766743146758,Edad+Genero+Grupo+eTIV,-0.09081604536946372,13,0.12607903410283114,17,volume_DHI,B,0.9256551398896076,False,86,1,2,False
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,Niigata,31,-0.027150716702371746,0.8909178222824434,-0.4283853156235503,0.38054579244516734,Edad+Genero+Grupo,-0.4425799838295035,14,0.07653740565233622,17,LGI_Niigata,B,0.9845462157919936,False,32,1,2,False
5_parahippocampal_LGI_lh,Corteza parahipocampal,lh,LGI,DHI,30,-0.17792267697858993,0.3746048770684456,-0.5507998709742827,0.27709646219880185,Edad+Genero+Grupo,-0.7268101332060853,13,0.11204510832465449,17,LGI_DHI,B,0.9159612902733524,False,32,1,2,False
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,Niigata,31,-0.13642733311731373,0.4887868040447447,-0.54312309881291,0.32905033206450796,Edad+Genero+Grupo,-0.45930755855250865,14,-0.10684210582578912,17,LGI_Niigata,B,0.9703936934456393,False,32,2,2,True
5_parahippocampal_LGI_rh,Corteza parahipocampal,rh,LGI,DHI,30,0.04261495361363537,0.8328471663700061,-0.3766737186220233,0.48451871180905826,Edad+Genero+Grupo,0.005190327555275107,13,0.09844497269399925,17,LGI_DHI,B,0.9438893244114561,False,32,2,2,True
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,Niigata,31,-0.01892402708804633,0.9238546145692965,-0.41189420838140883,0.3734438336491671,Edad+Genero+Grupo,-0.10482890358057806,14,0.00947597748865468,17,thickness_Niigata,B,0.9536563763295964,False,32,1,2,False
6_entorhinal_thickness_lh,Corteza entorrinal,lh,thickness,DHI,30,-0.13479299708400108,0.5026460269313766,-0.5425024606839627,0.3001209331841731,Edad+Genero+Grupo,-0.030878767440577673,13,-0.07993025151662286,17,thickness_DHI,B,0.5546438917863467,False,32,2,2,True
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,Niigata,31,0.04331249547149388,0.8267735874520183,-0.40189527813388704,0.539846549263157,Edad+Genero+Grupo,-0.6458445096365403,14,0.3340075372336004,17,thickness_Niigata,B,0.8818918266154863,False,32,1,2,False
6_entorhinal_thickness_rh,Corteza entorrinal,rh,thickness,DHI,30,-0.13491581837779754,0.5022532197256797,-0.5358113285042188,0.3637131795329214,Edad+Genero+Grupo,-0.5755521451791484,13,0.005729297103334086,17,thickness_DHI,B,0.5546438917863467,False,32,1,2,False
6_entorhinal_area_lh,Corteza entorrinal,lh,area,Niigata,31,-0.43343798669555295,0.023910118242902106,-0.7449748290473057,-0.06857344645918921,Edad+Genero+Grupo+eTIV,0.32054449017626524,14,-0.45216935265563846,17,area_Niigata,B,0.7651237837728674,False,32,1,2,False
6_entorhinal_area_lh,Corteza entorrinal,lh,area,DHI,30,0.02704267257627365,0.8956700138277875,-0.42554683358807616,0.475761105660311,Edad+Genero+Grupo+eTIV,0.708646717373052,13,-0.1657856441221378,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
6_entorhinal_area_rh,Corteza entorrinal,rh,area,Niigata,31,-0.019033303712008908,0.9249277168519734,-0.3871934909772062,0.3431337723842862,Edad+Genero+Grupo+eTIV,0.1306402497105067,14,0.1526692895837968,17,area_Niigata,B,0.9547640948149403,False,32,0,2,False
6_entorhinal_area_rh,Corteza entorrinal,rh,area,DHI,30,0.18754539308119839,0.3589103561200809,-0.21367217593712073,0.5778173623318801,Edad+Genero+Grupo+eTIV,0.5072991000865674,13,0.051325582969266016,17,area_DHI,B,0.9548585268453689,False,32,2,2,True
