variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi,medida,hemi,familia_fdr,atlas,tipo,modelo,ajusta_etiv,p_fdr,sobrevive_fdr,n_familia
5_parahippocampal_area_lh,31,"Q('5_parahippocampal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.3394545725996019,2,22,0.282529589508752,0.39718574054668515,0.2833716628337166,0.10855054935523083,0.0002464650417815604,0.30155829528785133,0.9109764676458999,0.04650389252345964,0.5563780700026183,13,13,5,704.0,727.0769230769231,710.0,44.268668083286315,0.7233650746056667,-1.705361712519465,2.0867767630860343,0.27564668825681554,-15.087087740164662,-0.24652813877783786,-1.3258194805662158,0.9564779217095939,0.6079980491093556,A1,Corteza parahipocampal,area,lh,area,DKT,C,B_con_ansiedad,True,0.4408003644080036,False,14
5_parahippocampal_area_rh,31,"Q('5_parahippocampal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.6232884549057577,2,22,0.5453814506717501,0.5627426403107345,0.5511448855114488,0.05362410623498643,0.00012796795740908736,0.2237718966457544,0.7577387940741902,0.5858269008699268,0.2682532161916886,13,13,5,674.0769230769231,660.5384615384615,682.4,39.30829073582983,0.7143778579051657,-0.9624197892420122,2.6828524737389223,0.28149541063803624,17.49160899656706,0.31788759908841424,-0.8319885876065355,1.2977537175671643,0.5092015428639861,A1,Corteza parahipocampal,area,rh,area,DKT,C,B_con_ansiedad,True,0.5935406459354063,False,14
5_parahippocampal_volume_lh,31,"Q('5_parahippocampal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.0812352887368883,2,22,0.356528924314268,0.5494249672502994,0.35976402359764026,0.08949708062923863,0.0002255807999165791,0.28422351442351546,0.14651967876591415,0.4039772109084111,0.5355279176129242,13,13,5,2094.769230769231,2287.846153846154,2273.8,-24.78395682958859,-0.09645264277256586,-1.9652726305265202,1.5692787487752615,0.8828591156401626,-165.30981351456174,-0.6433423242040154,-1.6397382921582533,1.4443703477820116,0.18823449557160488,A1,Corteza parahipocampal,volume,lh,volume,DKT,C,B_con_ansiedad,True,0.7041073670410737,False,16
5_parahippocampal_volume_rh,31,"Q('5_parahippocampal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.1610177434972703,2,22,0.8522710813526868,0.8970837815356235,0.8536146385361464,0.014426797555364863,1.6607136137624935e-05,0.04140974029679587,0.6493377267265008,0.766462082009109,0.4306763418449217,13,13,5,1947.6153846153845,1961.923076923077,2024.6,49.51179526451523,0.29481786641681035,-1.7197894351942782,1.9608513450455536,0.6531156518249043,-6.447854160851733,-0.03839373217055318,-1.2799316139441412,1.4574817759735952,0.9361409532088543,A1,Corteza parahipocampal,volume,rh,volume,DKT,C,B_con_ansiedad,True,0.9481051894810519,False,16
5_parahippocampal_LGI_lh,31,"Q('5_parahippocampal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",5.553760080975356,2,23,0.010766968739297396,0.005430463368164257,0.012598740125987402,0.3256619100189499,0.03829989476288938,0.5855050241567069,0.04693590692802251,0.48738056883714836,0.9773920143030551,13,13,5,2.5970769230769233,2.699076923076923,2.6316,0.004516966014439849,0.049398905514642925,-1.7127961876539566,1.9062785892497849,0.9397956897864261,-0.12510907557203468,-1.368230662672736,-2.374899152814495,0.1485979608460083,0.008164037965154587,A1,Corteza parahipocampal,LGI,lh,LGI,DKT,C,B_con_ansiedad,False,0.17638236176382363,False,14
5_parahippocampal_LGI_rh,31,"Q('5_parahippocampal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.898195584843204,2,23,0.0754192785727731,0.07883776507651824,0.0745925407459254,0.20128880509819558,0.0017814733906982977,0.4259662649903317,0.44257892164966595,0.5779561391046679,0.5596026299495929,13,13,5,2.6739230769230766,2.7250769230769234,2.6292,0.12621042594880238,1.042225302212009,-1.899777781756528,2.3863518527183696,0.12082320030094053,-0.0462600364196433,-0.3820079052530824,-1.652265187653495,0.7624528349443886,0.4271946728364518,A1,Corteza parahipocampal,LGI,rh,LGI,DKT,C,B_con_ansiedad,False,0.2105039496050395,False,14
6_entorhinal_thickness_lh,31,"Q('6_entorhinal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.022721378856228103,2,23,0.977556720963276,0.9811739051032727,0.9776022397760225,0.001971876096728417,3.9684466556945836e-05,0.0018503941188210023,0.30319997481191574,0.7960088530373797,0.3915069874516253,13,13,5,2.7809999999999997,2.825307692307692,2.9262,0.008578423040030814,0.05290159076286077,-1.9558585496067689,1.3371491119364944,0.9355364239743305,0.01625236808893707,0.10022542856142919,-1.2604623203093799,1.222719740174364,0.8339191145137512,A1,Corteza entorrinal,thickness,lh,thickness,DKT,C,B_con_ansiedad,False,0.9776022397760225,False,14
6_entorhinal_thickness_rh,31,"Q('6_entorhinal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.08472431826703587,2,23,0.9190509231955261,0.9398596474247702,0.9166083391660834,0.007313451398531841,0.00013662696130242714,0.0160104203225001,0.9194345078471415,0.690857411734495,0.39266272414620634,13,13,5,2.8524615384615384,2.8613846153846154,2.9108,0.02951993452463242,0.15181384676767898,-2.1053692246900386,1.563962528563224,0.816548376690473,0.037594704067764106,0.19334042349780062,-1.4311752357194396,1.2931226814854115,0.6862520276919974,A1,Corteza entorrinal,thickness,rh,thickness,DKT,C,B_con_ansiedad,False,0.9776022397760225,False,14
6_entorhinal_area_lh,31,"Q('6_entorhinal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",3.612782027278034,2,22,0.043980237376907885,0.16915487879112517,0.0451954804519548,0.24723437470934465,0.004701565426701674,0.5531076133173122,0.09563648461667622,0.06554668142602155,0.9819360713682386,13,13,5,392.0,439.0,474.4,-77.64179158502411,-1.457347866571813,-2.8861431021114847,0.975272176764183,0.034614922120722785,-59.601077903633914,-1.118721012936996,-2.2447846652646213,1.3175878812309063,0.02747661586421208,A1,Corteza entorrinal,area,lh,area,DKT,C,B_con_ansiedad,True,0.22117788221177884,False,14
6_entorhinal_area_rh,31,"Q('6_entorhinal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.6619727570412804,2,22,0.5258081200949777,0.730216908739505,0.5291470852914708,0.05676335992481149,7.339236127832416e-05,0.2056343596291755,0.2637772187545837,0.9430284038471537,0.7673951063135122,13,13,5,378.15384615384613,393.38461538461536,444.2,-37.91703693474005,-0.6802209671378496,-2.791332132272884,2.4568371356392853,0.3045435360847745,-24.06291522329219,-0.43168192423673407,-1.5623923624692464,1.8894483587978055,0.37206404261083204,A1,Corteza entorrinal,area,rh,area,DKT,C,B_con_ansiedad,True,0.5935406459354063,False,14
6_entorhinal_volume_lh,31,"Q('6_entorhinal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.2081843269120993,2,22,0.31780277105837895,0.5211139112934404,0.3086691330866913,0.09896511181017642,0.00016338562762507062,0.3096328966166973,0.059105940428438,0.5496197334163397,0.8867143695433879,13,13,5,1327.6153846153845,1455.5384615384614,1636.0,-171.21412806454842,-0.8481028604445427,-2.5017660291745987,1.186268510440171,0.2034661562544131,-129.9031674692609,-0.6434705427460498,-1.6762891399625035,1.3492685441271912,0.1881499075298959,A1,Corteza entorrinal,volume,lh,volume,DKT,C,B_con_ansiedad,True,0.7041073670410737,False,16
6_entorhinal_volume_rh,31,"Q('6_entorhinal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.05453807976247179,2,22,0.9470500605993678,0.9500357578499896,0.9481051894810519,0.004933546690866675,2.318045179659418e-05,0.00903505721026879,0.5569399989060977,0.9273058134320797,0.16404117958643027,13,13,5,1320.2307692307693,1335.3076923076924,1481.4,-25.832360540802412,-0.13360716654694804,-3.0733783878438197,2.7062249126429587,0.8383083980883596,-29.762325662982207,-0.15393328052222408,-1.1783089786600287,1.4154707702609317,0.7483065594292693,A1,Corteza entorrinal,volume,rh,volume,DKT,C,B_con_ansiedad,True,0.9481051894810519,False,16
6_entorhinal_LGI_lh,31,"Q('6_entorhinal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.7767576165173857,2,23,0.19163148119401519,0.3366568826672209,0.19188081191880813,0.13382466320745,0.0027029398091749034,0.3823098514910693,0.7205578836972566,0.16218310812906317,0.9844133232145338,13,13,5,2.411230769230769,2.4193076923076924,2.379,0.10242136577156302,1.0675478494246486,-0.7088837694991098,2.409837354327472,0.11250903622266335,-0.0007900901864781873,-0.008235186799866833,-0.8511572895047468,1.2316521231322732,0.9862476611591882,A1,Corteza entorrinal,LGI,lh,LGI,DKT,C,B_con_ansiedad,False,0.2238609472386095,False,14
6_entorhinal_LGI_rh,31,"Q('6_entorhinal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.044004107534982,2,23,0.15238203908431425,0.1253748094612309,0.15648435156484353,0.15091579205870398,0.0009796519106057278,0.3575962185896489,0.3862810769181994,0.7102619944176085,0.6081123352082107,13,13,5,2.4744615384615383,2.506153846153846,2.452,0.10764956016358407,1.0717888556666209,-1.3419207960182566,2.607969952943093,0.11116466338444253,-0.011022984689090895,-0.10974789054408032,-1.5550875689855579,1.1335390775141947,0.818420312459756,A1,Corteza entorrinal,LGI,rh,LGI,DKT,C,B_con_ansiedad,False,0.21907809219078092,False,14
7_precuneus_thickness_lh,31,"Q('7_precuneus_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.383984653281626,2,23,0.11458103137556143,0.14326093240629512,0.11248875112488751,0.17170752581595128,0.0021597591417539374,0.41378315581167213,0.7054148284425242,0.665689591625199,0.5554815333988066,13,13,5,2.4996923076923077,2.4658461538461536,2.5149999999999997,0.10417830344855622,1.0824507877425311,-1.2762077398227567,2.500677257307912,0.10784450190122716,0.09232122080372628,0.9592513496218834,-0.46221466192271393,1.9428822375677874,0.054108224435004265,A1,Precúneo,thickness,lh,thickness,DKT,C,B_con_ansiedad,False,0.39371062893710634,False,14
7_precuneus_thickness_rh,31,"Q('7_precuneus_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.1815433068162606,2,23,0.3247475692436252,0.4223553715774544,0.32166783321667836,0.09317030886778484,0.000790396221629153,0.29665933865055744,0.36650050742818546,0.17329260584665301,0.3692401223586622,13,13,5,2.521230769230769,2.495923076923077,2.5796,0.04498219181565316,0.4168770573596354,-1.5566464671969484,2.282115533451441,0.525708414986183,0.07823653151000096,0.7250650472430743,-0.5796960168011195,1.8912623664265005,0.13862252451099497,A1,Precúneo,thickness,rh,thickness,DKT,C,B_con_ansiedad,False,0.6433356664333567,False,14
7_precuneus_area_lh,31,"Q('7_precuneus_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.1979495810559766,2,22,0.8218564190675508,0.8698969955406464,0.8233176682331766,0.017677305976699153,5.144170101106414e-05,0.06274257629834605,0.6810503046943766,0.36818511598816916,0.7165133720865887,13,13,5,3631.846153846154,3732.4615384615386,3767.6,-61.83949062054796,-0.1724088580968014,-1.681896574323277,1.9522626768326807,0.792369418639043,-106.73682958045158,-0.2975828992149529,-1.8278129024259264,0.8706013689349453,0.5363756167947641,A1,Precúneo,area,lh,area,DKT,C,B_con_ansiedad,True,0.8233176682331766,False,14
7_precuneus_area_rh,31,"Q('7_precuneus_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.0975294816674481,2,22,0.35128204795087725,0.4923618368744721,0.34836516348365165,0.09072343930474734,0.001915430991581402,0.34081530226536927,0.9336324351663082,0.8148216584545411,0.5771063378135639,13,13,5,3894.153846153846,4120.076923076923,3992.0,24.94436504243197,0.07039926030213822,-2.0624961084990288,1.4628577576052089,0.9143463345435335,-209.53692190149118,-0.5913657967544602,-1.6991798236578013,0.42666706312170477,0.2250542058452802,A1,Precúneo,area,rh,area,DKT,C,B_con_ansiedad,True,0.44337384443373845,False,14
7_precuneus_volume_lh,31,"Q('7_precuneus_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.2533251204050336,2,22,0.7784487179059321,0.8439880205554039,0.7756224377562244,0.02251113494852229,7.179212785210803e-06,0.0718543408044753,0.7028108434953644,0.9975690682150732,0.5771626575744013,13,13,5,9381.0,9449.0,9791.4,363.9839619533848,0.42010063908338763,-1.7075122824964952,2.307274000100909,0.5228906824141635,232.02856480717332,0.26780121804811374,-1.289461498961917,1.5769387667721009,0.577602212488611,A1,Precúneo,volume,lh,volume,DKT,C,B_con_ansiedad,True,0.9481051894810519,False,16
7_precuneus_volume_rh,31,"Q('7_precuneus_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.0750111365887683,2,22,0.9279693863127135,0.9402520422450719,0.9271072892710729,0.0067730077797350735,3.813301082186449e-05,0.017173707229954597,0.8074826203540872,0.5447914878556164,0.9517118908164783,13,13,5,10004.76923076923,10325.0,10524.6,223.9000253916979,0.2189979585484788,-1.5923340177837901,1.6982298430881269,0.7382260982423934,-2.332839237658959,-0.0022817640586477797,-1.2256403877459663,1.1739553554282038,0.9962004880362646,A1,Precúneo,volume,rh,volume,DKT,C,B_con_ansiedad,True,0.9481051894810519,False,16
7_precuneus_LGI_lh,31,"Q('7_precuneus_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.0871173709747834,2,23,0.14691322867866782,0.16722194881994953,0.140985901409859,0.15361001999094726,0.0037491252585446187,0.341578215993394,0.07718590151138963,0.49729425479119627,0.7803623302649988,13,13,5,2.599307692307692,2.6783076923076923,2.7846,-0.1877428519032946,-1.2934919746580233,-2.390420164449986,0.6059106898371455,0.05751717680374766,-0.09056613214351547,-0.6239735037358276,-1.5234684058495755,0.6635612745506062,0.1997254052152638,A1,Precúneo,LGI,lh,LGI,DKT,C,B_con_ansiedad,False,0.21907809219078092,False,14
7_precuneus_LGI_rh,31,"Q('7_precuneus_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.4061983281279564,2,23,0.6708638181961623,0.7682982400153245,0.669033096690331,0.034116543075578355,8.639426437622038e-05,0.14686222066129326,0.47936269944864196,0.38477469882406234,0.4274004078372004,13,13,5,2.7645384615384616,2.8268461538461533,2.8474,-0.06329098543055595,-0.358059785821678,-1.8004473012939965,1.068429664071111,0.585290121723376,-0.07426220091263874,-0.42012788349774133,-1.6434742440758234,0.8966528157712224,0.38322329619755463,A1,Precúneo,LGI,rh,LGI,DKT,C,B_con_ansiedad,False,0.669033096690331,False,14
8_isthmuscingulate_thickness_lh,31,"Q('8_isthmuscingulate_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.6675988372432737,2,23,0.09080678013706739,0.10423749817349887,0.09059094090590941,0.1882887049448906,0.0036881132740569167,0.4375719787630638,0.09308539491719088,0.7076396241563743,0.8703831209513834,13,13,5,2.3696153846153845,2.2842307692307693,2.4232,0.05385996520949582,0.4816595259365916,-1.1761133902471685,2.111666743991221,0.4641085942333198,0.12036445878404724,1.076396687818828,-0.5882350673005059,2.0454026267443344,0.03236671224281896,A1,Istmo del cíngulo,thickness,lh,thickness,DKT,C,B_con_ansiedad,False,0.39371062893710634,False,14
8_isthmuscingulate_thickness_rh,31,"Q('8_isthmuscingulate_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",5.255861171763725,2,23,0.013185830834391423,0.1081651713688686,0.0131986801319868,0.31367299584820396,0.011136491092838674,0.5474745302620376,0.043873851173916845,0.6061957511215865,0.3202707760116501,13,13,5,2.269923076923077,2.232076923076923,2.4898,-0.17814412865572837,-1.5487834779643572,-2.8714581725698656,1.051400984901568,0.02521220905286129,0.04270699977057979,0.3712942780501493,-0.678128892569737,1.1890677637909786,0.44009763509309874,A1,Istmo del cíngulo,thickness,rh,thickness,DKT,C,B_con_ansiedad,False,0.1847815218478152,False,14
8_isthmuscingulate_area_lh,31,"Q('8_isthmuscingulate_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.1057942156662346,2,22,0.14562057698569789,0.39655041115585904,0.14338566143385661,0.16067658174802085,0.0017799774817015674,0.4251789444275634,0.30918549252167865,0.2278571496638776,0.49760016288655484,13,13,5,1003.1538461538462,1048.923076923077,935.2,86.27329071378028,0.8428670473415564,-1.0075383111744538,2.884743416703271,0.20616853469923177,-37.630100909087034,-0.36763605261832066,-1.564686246185495,1.316593351702428,0.44600278227168344,A1,Istmo del cíngulo,area,lh,area,DKT,C,B_con_ansiedad,True,0.28677132286771323,False,14
8_isthmuscingulate_area_rh,31,"Q('8_isthmuscingulate_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",6.424531979068084,2,22,0.006346688694258578,0.03326872688473978,0.0047995200479952005,0.36870614297048615,0.10065150754469014,0.5887281913968659,0.07737286767323943,0.691569501996192,0.710580646319249,13,13,5,956.6153846153846,939.6153846153846,824.6,146.02321656932816,2.15207267501944,-0.07526740398246201,3.19258908210965,0.0030667577620542962,13.01516989181934,0.19181601489802733,-1.3778324908569781,1.3291267568023393,0.689468284301408,A1,Istmo del cíngulo,area,rh,area,DKT,C,B_con_ansiedad,True,0.06719328067193281,False,14
8_isthmuscingulate_volume_lh,31,"Q('8_isthmuscingulate_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.5236520196846925,2,22,0.24003724090966147,0.25064191518627355,0.24087591240875914,0.12166195749369388,0.0031282634405654887,0.3432471294205301,0.6513005173428319,0.062489253458884585,0.8436200655063125,13,13,5,2500.6923076923076,2536.769230769231,2360.4,321.55421911118026,1.0776825434715904,-0.6181248768735176,2.767023783882157,0.1099811544780114,46.89610112129054,0.15717134632843657,-1.0347683043757139,1.7916483896862225,0.7432093927608893,A1,Istmo del cíngulo,volume,lh,volume,DKT,C,B_con_ansiedad,True,0.6575342465753424,False,16
8_isthmuscingulate_volume_rh,31,"Q('8_isthmuscingulate_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.4983517044272958,2,22,0.24543663011745723,0.3451929108440738,0.2465753424657534,0.1198839446882051,0.0020525029223162346,0.3397432338634142,0.6891909135675023,0.10679228749859315,0.8758022324822554,13,13,5,2320.846153846154,2261.923076923077,2162.6,250.00849655217934,1.1056889659592297,-0.7231957890385474,2.614938814460061,0.10155405688763464,60.923733571504215,0.26944164260030584,-0.9676471262297912,1.2960034416087778,0.5752903810606678,A1,Istmo del cíngulo,volume,rh,volume,DKT,C,B_con_ansiedad,True,0.6575342465753424,False,16
8_isthmuscingulate_LGI_lh,31,"Q('8_isthmuscingulate_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.3388691701677407,2,23,0.11895103425144132,0.10030159237613759,0.1202879712028797,0.16900724628639519,0.0066424020816504385,0.39648400796585676,0.07934141438100965,0.5210258467035829,0.25314962324481777,13,13,5,2.473307692307692,2.5883846153846153,2.5789999999999997,-0.12335793253506255,-0.8661780352906157,-2.8071244579011863,0.6891453791976863,0.19369847827746933,-0.14341855753055294,-1.007037016859205,-1.8884073863444393,0.25571315846191234,0.04401451657441062,A1,Istmo del cíngulo,LGI,lh,LGI,DKT,C,B_con_ansiedad,False,0.2105039496050395,False,14
8_isthmuscingulate_LGI_rh,31,"Q('8_isthmuscingulate_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.4278172440574795,2,23,0.2603066829036009,0.4175021576691446,0.25517448255174485,0.11044534565290233,0.0019205993324250704,0.36279303758921916,0.3693374744938056,0.27311187233973944,0.9008437829552168,13,13,5,2.624846153846154,2.7112307692307693,2.6285999999999996,0.00846723525714943,0.05706664052550238,-2.344066469231311,1.7334449847376487,0.9304742930174335,-0.1011701018492869,-0.6818563154114368,-1.8094341796609585,0.44429218919311986,0.16256595250458558,A1,Istmo del cíngulo,LGI,rh,LGI,DKT,C,B_con_ansiedad,False,0.27480328890187905,False,14
