variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi,medida,hemi,familia_fdr,atlas,tipo,modelo,ajusta_etiv,p_fdr,sobrevive_fdr,n_familia
6_entorhinal_volume_rh,46,"Q('6_entorhinal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.08474403043237573,2,39,0.9189161328997718,0.9089426975987636,0.9193080691930807,0.004327043044356032,9.932725146522904e-06,0.010585186838519856,0.39461450029897327,0.3439614836304986,0.14735558856503098,19,17,10,1322.5882352941176,1296.0526315789473,1411.6,16.222716971126033,0.08395870798473916,-0.9588177600381638,1.0536220730974335,0.8417532828738457,26.87504824599185,0.13908855907287568,-0.5376960128000084,0.7738950900603828,0.6835311948260666,A1,Corteza entorrinal,volume,rh,volume,DKT,C,A_sin_ansiedad,True,0.9193080691930807,False,16
6_entorhinal_LGI_lh,45,"Q('6_entorhinal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",2.1448627005539844,2,39,0.13069399488023953,0.20900319652216945,0.13308669133086692,0.09909338443154404,0.0006775206454427688,0.2668857856181238,0.39977050278081205,0.6916245648449643,0.9204226717582847,18,17,10,2.409235294117647,2.443722222222222,2.3985,0.03715257811669964,0.4008650939599434,-0.4716703818943538,1.2748920457007664,0.33941112127137707,-0.03983156158820128,-0.4297705162874973,-1.1125677721540776,0.4603414621982799,0.21601107756207466,A1,Corteza entorrinal,LGI,lh,LGI,DKT,C,A_sin_ansiedad,False,0.23290170982901712,False,14
6_entorhinal_LGI_rh,45,"Q('6_entorhinal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.7112612934961051,2,39,0.19392253976583965,0.22362481291866956,0.18838116188381163,0.08067701726067653,0.0003760245590278974,0.2365967751067298,0.3619971269538499,0.7622665512542219,0.40944810492526834,18,17,10,2.472235294117647,2.5171111111111113,2.4707,0.03184631533238513,0.30895230880353325,-0.5329234970720621,1.0402101805730004,0.46048499186079533,-0.043150653696792246,-0.4186196722246428,-1.2018971967099588,0.4331936918925028,0.22792974558107626,A1,Corteza entorrinal,LGI,rh,LGI,DKT,C,A_sin_ansiedad,False,0.24408468244084683,False,14
7_precuneus_thickness_lh,46,"Q('7_precuneus_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.06199448954064026,2,40,0.9399781913153624,0.9346893725961014,0.9412058794120588,0.0030901458762218888,8.087636118739747e-06,0.006809057805774062,0.9616640810361401,0.9507386134795336,0.5261641516077487,19,17,10,2.4691176470588236,2.468736842105263,2.4922,-0.00745337404758728,-0.06929772964357306,-0.9347431472937036,0.7560294298333288,0.8680468399837571,0.007640038255039977,0.07103323972257898,-0.7145180408769978,0.8410832361142508,0.834476408120043,A1,Precúneo,thickness,lh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
7_precuneus_thickness_rh,46,"Q('7_precuneus_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.16828827734634783,2,40,0.8457054054073196,0.8395753728491784,0.8447155284471553,0.008344202295807844,9.38942549204489e-07,0.024863099639493583,0.7982956054572031,0.27582915734590807,0.9715067347524575,19,17,10,2.498117647058823,2.483263157894737,2.5271,-0.013836198005997558,-0.12218538326597955,-1.0824739688256888,0.7470993494611814,0.7696525290544012,0.012562475814254487,0.11093733419172883,-0.6050283805411125,0.782531268423825,0.7442552718921147,A1,Precúneo,thickness,rh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
7_precuneus_area_lh,46,"Q('7_precuneus_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.27948696856608884,2,39,0.7576732866415825,0.798563591501859,0.7562243775622438,0.014130142455679182,3.326092352437808e-05,0.05429574584585295,0.656751082949369,0.35400248325079214,0.7014093377598549,19,17,10,3780.4117647058824,3775.9473684210525,3895.5,109.64938411258072,0.3031846847064066,-0.5279518989504584,1.1803306369434703,0.4723022387797843,57.829163971839506,0.15989982057387217,-0.5752812226209616,0.8768211093273806,0.6394397660710656,A1,Precúneo,area,lh,area,DKT,C,A_sin_ansiedad,True,0.9624673896246739,False,14
7_precuneus_area_rh,46,"Q('7_precuneus_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.18303288653925262,2,39,0.8334519530645947,0.8692949182031378,0.8286171382861713,0.00929901847923164,5.575279541910043e-05,0.03624046518027654,0.6716971810805822,0.2841859126463598,0.9246704056014807,19,17,10,4092.5882352941176,4167.578947368421,4256.0,105.88626347939089,0.248075203122265,-0.614343290795722,1.2333003471150348,0.5560335087312023,21.523892563205806,0.05042716443231891,-0.6227227024889688,0.7869829612105275,0.882395401770113,A1,Precúneo,area,rh,area,DKT,C,A_sin_ansiedad,True,0.9667199946671999,False,14
7_precuneus_volume_lh,46,"Q('7_precuneus_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.3115629465324381,2,39,0.7341072579345798,0.7356735661866413,0.7207279272072793,0.015726318381507103,4.401529300757905e-05,0.06385089022033347,0.595611549522641,0.8577819386029915,0.7547768773618192,19,17,10,9555.35294117647,9622.894736842105,9948.5,268.5572143634681,0.32739635294698066,-0.47882103672668114,1.1616721487857624,0.43792255993049223,116.60966443712312,0.14215808331782667,-0.6159710753934974,0.846685387045244,0.6769522658697759,A1,Precúneo,volume,lh,volume,DKT,C,A_sin_ansiedad,True,0.8953771289537713,False,16
7_precuneus_volume_rh,46,"Q('7_precuneus_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.187580790836019,2,39,0.829705619794234,0.8670165190258019,0.8263173682631737,0.00952787408615142,3.771009476487583e-06,0.037820300974886055,0.5331413435042379,0.17068535895231757,0.950783170332826,19,17,10,10336.35294117647,10436.78947368421,10851.5,234.81681885357784,0.2372616311908584,-0.6117031234413285,1.1087125466026313,0.5733071671175939,150.76512916988884,0.15233483124500333,-0.6140864474714391,0.9082481152297338,0.6553252998327638,A1,Precúneo,volume,rh,volume,DKT,C,A_sin_ansiedad,True,0.8953771289537713,False,16
7_precuneus_LGI_lh,45,"Q('7_precuneus_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.3056937320431843,2,39,0.28256736249261866,0.26355425717965286,0.27997200279972,0.06275655831808503,0.0006429421796662014,0.17333917486631067,0.25799848827636573,0.4995900759653506,0.24914161554271225,18,17,10,2.622176470588235,2.676888888888889,2.7362,-0.09761289219291605,-0.630312032123745,-1.350876240034081,0.14315145739604035,0.13638141451635566,-0.05998457216105483,-0.3873361061793409,-1.0441936838778578,0.4402056840477021,0.26395021676927904,A1,Precúneo,LGI,lh,LGI,DKT,C,A_sin_ansiedad,False,0.32663400326634,False,14
