variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi_n,roi,tipo,atlas,medida,hemi,familia_fdr,compuesta,ajusta_etiv,n_esperado,modelo,p_fdr,sobrevive_fdr,n_familia
12_cuneus_area_lh,31,"Q('12_cuneus_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.555563085492788,2,22,0.5815904884573379,0.7993444740010297,0.5805419458054195,0.04807754337737632,1.5517109460071826e-05,0.17491094362156417,0.7289201642743653,0.17827357918225573,0.6711449727935753,13,13,5,2080.153846153846,2045.0,2171.6,-104.51027401145984,-0.4118305555612115,-2.137529697948654,1.7420387216140498,0.5310307680432841,52.50481004557679,0.20689913307790903,-1.047940656364884,1.7904682820091655,0.6665651269549352,A2,12,Cuneus,C,DKT,area,lh,area,False,True,46,B_con_ansiedad,0.9499777294997773,False,18
12_cuneus_area_rh,31,"Q('12_cuneus_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.05130869805613095,2,22,0.950098699071919,0.9664383948274362,0.9513048695130487,0.004642771228094994,4.9174280190181265e-05,0.008848310521469845,0.920691488844998,0.3295926358602882,0.7608746010599406,13,13,5,2001.5384615384614,2023.3076923076924,1985.4,37.58309099504493,0.19477152339386544,-1.528858370811919,1.9850927001061172,0.766227779168945,4.26706033536685,0.022113717098003322,-1.431857485045698,1.748302104765558,0.963190854417374,A2,12,Cuneus,C,DKT,area,rh,area,False,True,46,B_con_ansiedad,0.9513048695130487,False,18
12_cuneus_volume_lh,31,"Q('12_cuneus_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.4890087119329107,2,22,0.2474639168370849,0.47998099825310026,0.2420757924207579,0.11922553232829465,0.0017875674005614307,0.41133957308520397,0.5282680969514711,0.037826179985452006,0.7204982490076532,13,13,5,4052.923076923077,3977.6153846153848,4388.0,-235.48867249289333,-0.41164238591855423,-2.181317283525358,1.8029566876589551,0.5312167769368575,300.54508787702264,0.5253632615960868,-0.7371835768828904,1.7290230848358434,0.27942772657747766,A2,12,Cuneus,C,DKT,volume,lh,volume,False,True,46,B_con_ansiedad,0.7454254574542546,False,24
12_cuneus_volume_rh,31,"Q('12_cuneus_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.466360714990164,2,22,0.2524544072745739,0.3764508747670985,0.24847515248475152,0.11762540395826505,0.0017392426279547097,0.35449203604838175,0.6083016609105623,0.5293305059293252,0.16713252121435898,13,13,5,4038.230769230769,3884.3076923076924,4116.2,33.98103649993868,0.0787322541714215,-2.1501978178594108,2.2378338586176225,0.9042571337840526,319.1225809226163,0.7393900463596745,-0.8089014165040569,2.015641271332322,0.13285999064668566,A2,12,Cuneus,C,DKT,volume,rh,volume,False,True,46,B_con_ansiedad,0.7454254574542546,False,24
12_cuneus_LGI_lh,31,"Q('12_cuneus_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",3.4856590007864696,2,23,0.04761600281517273,0.20497065564358774,0.0466953304669533,0.2325996474765332,0.007064080955310808,0.538979847232566,0.1171726606738671,0.14137368653385934,0.7455171894703598,13,13,5,2.7016153846153848,2.7394615384615384,2.9463999999999997,-0.28273221306850893,-1.6780702542943273,-3.2490255451893137,0.8148299174146847,0.01623286598141198,-0.0636151010682256,-0.37756790309793914,-1.3571186839619558,0.8434760975020179,0.4325132624275048,A2,12,Cuneus,C,DKT,LGI,lh,LGI,False,False,45,B_con_ansiedad,0.28017198280171984,False,18
12_cuneus_LGI_rh,31,"Q('12_cuneus_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.17106370333744209,2,23,0.8438302872985848,0.9020670996126823,0.8427157284271573,0.01465707905343066,4.3579511411721216e-05,0.05652611282044365,0.7931842396497105,0.35487208674854287,0.35207842301554065,13,13,5,2.8663076923076924,2.898230769230769,2.9128,-0.03166221941135339,-0.18645968232033278,-1.6486783035085868,1.278694707884651,0.775764604459053,-0.0469309678113187,-0.27637776225966093,-1.7178844276921457,1.0304821627234797,0.5643748524750254,A2,12,Cuneus,C,DKT,LGI,rh,LGI,False,False,45,B_con_ansiedad,0.8922872418640488,False,18
13_middletemporal_thickness_lh,31,"Q('13_middletemporal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.4015185797685565,2,23,0.26647446210465114,0.36986587567285845,0.2682731726827317,0.1086320630477051,0.0011539003839470896,0.35795860745742825,0.18253311374691167,0.5637948892390681,0.802014964486584,13,13,5,2.757153846153846,2.734769230769231,2.8404,0.03629618723656225,0.32650389058274215,-1.1813902263686258,2.0908734002500764,0.6185834865725848,0.08639030814166014,0.7771276782614909,-0.6766499418422035,2.038432371389538,0.11370210983573369,A2,13,Temporal medio,C,DKT,thickness,lh,thickness,False,False,46,B_con_ansiedad,0.3345265473452655,False,18
13_middletemporal_thickness_rh,31,"Q('13_middletemporal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.4584986296412987,2,23,0.10774075610841614,0.12379283790318867,0.10548945105489452,0.17612915936536339,0.011935592555220491,0.45063057343357416,0.5360497436966718,0.037880675608538486,0.8420489523960001,13,13,5,2.840692307692308,2.807769230769231,2.886,0.09607045326001673,0.9856182816260338,-0.9890168412036416,2.1890565416183274,0.14126993881233596,0.0986598071184775,1.012183311912614,-0.4203395931954992,2.209807265670615,0.04303523016896281,A2,13,Temporal medio,C,DKT,thickness,rh,thickness,False,False,46,B_con_ansiedad,0.2641235876412359,False,18
13_middletemporal_area_lh,31,"Q('13_middletemporal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.1819495507050815,2,22,0.13662917298721902,0.3343017064797447,0.134986501349865,0.16552555768113775,0.0017757521054744577,0.5160067594966521,0.3338430297630389,0.9766702701874413,0.8925655723172472,13,13,5,4173.0,4296.307692307692,4657.2,-282.6697029132529,-1.2440494405226805,-3.259304512623192,1.847826708596304,0.06756361986773513,-175.73584638930637,-0.7734259424593827,-2.545644024850622,1.2637784900815798,0.11679236415076234,A2,13,Temporal medio,C,DKT,area,lh,area,False,True,46,B_con_ansiedad,0.485951404859514,False,18
13_middletemporal_area_rh,31,"Q('13_middletemporal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.2090383170584893,2,22,0.812957131837955,0.8734427287696089,0.8065193480651934,0.018649085777534016,9.742947925499923e-06,0.0604385505944357,0.41228427338297646,0.35792395634618723,0.9453921122015715,13,13,5,4115.384615384615,4227.615384615385,4508.2,-85.49752858368049,-0.2904337930144981,-2.0372599779789415,1.8640455477880797,0.6579210840213315,-86.85947068135638,-0.2950602894272802,-1.8159126609307938,1.3798075216683485,0.539805451747223,A2,13,Temporal medio,C,DKT,area,rh,area,False,True,46,B_con_ansiedad,0.9513048695130487,False,18
