variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
5_parahippocampal_area_lh,Corteza parahipocampal,lh,area,EntropyRatio_NI,36,0.09972002629826206,0.5871195070542543,-0.2419531722389631,0.47121308253096467,Edad+Genero+Grupo+eTIV,-0.009867078554909769,17,0.18304309635507582,19,area_EntropyRatio_NI,B,0.8193805706435121,False,15,1,2,False
5_parahippocampal_area_lh,Corteza parahipocampal,lh,area,Niigata,31,-0.030823508727277744,0.8786972906436341,-0.4658335745080741,0.4035611852060095,Edad+Genero+Grupo+eTIV,-0.08021363148836033,14,-0.014511322482487462,17,area_Niigata,B,0.9787297085697452,False,15,2,2,True
5_parahippocampal_area_lh,Corteza parahipocampal,lh,area,DHI,30,-0.019147479551958897,0.9260307641983402,-0.42267903810259516,0.3756305664339461,Edad+Genero+Grupo+eTIV,0.14835546415404982,13,-0.10095087113049765,17,area_DHI,B,0.9549640922556978,False,15,1,2,False
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,CSE_NI,36,-0.3613328663662083,0.04216218254755598,-0.6337131515496941,-0.0263658106567835,Edad+Genero+Grupo+eTIV,-0.22817119742532943,17,-0.40916775635321234,19,area_CSE_NI,B,0.6324327382133397,False,15,2,2,True
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,EntropyRatio_NI,36,-0.21265901905626397,0.2425870457191436,-0.5092696526389153,0.11406465262409601,Edad+Genero+Grupo+eTIV,0.32079689946219614,17,-0.44606044504483067,19,area_EntropyRatio_NI,B,0.8193805706435121,False,15,1,2,False
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,Niigata,31,0.10033765759367913,0.6185129289228006,-0.39499147686854863,0.5270762602978509,Edad+Genero+Grupo+eTIV,-0.4132673078099417,14,0.06452603735147605,17,area_Niigata,B,0.927769393384201,False,15,1,2,False
5_parahippocampal_area_rh,Corteza parahipocampal,rh,area,DHI,30,0.13161569195553752,0.5215860719451966,-0.29536456148202833,0.4895294749028356,Edad+Genero+Grupo+eTIV,-0.31690159114007493,13,0.1806096060903589,17,area_DHI,B,0.9549640922556978,False,15,1,2,False
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,CSE_NI,36,-0.08762986222322218,0.6334288268610568,-0.46740006663384953,0.31856604373528885,Edad+Genero+Grupo+eTIV,-0.3739987051708143,17,0.34583382567663734,19,volume_CSE_NI,B,0.8093293497443186,False,17,1,2,False
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,EntropyRatio_NI,36,-0.0073219671218870625,0.9682750192830073,-0.4263795547404432,0.41193637283237605,Edad+Genero+Grupo+eTIV,-0.4698705362302342,17,0.39498094598439054,19,volume_EntropyRatio_NI,B,0.9682750192830073,False,17,1,2,False
5_parahippocampal_volume_lh,Corteza parahipocampal,lh,volume,Niigata,31,-0.3952096905522115,0.04131932727916773,-0.7051609546998141,0.011765055113641811,Edad+Genero+Grupo+eTIV,-0.37954535641495557,14,-0.38969767780920966,17,volume_Niigata,B,0.20160422448347234,False,17,2,2,True
