variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
13_middletemporal_area_lh,Temporal medio,lh,area,CSE_NI,36,0.1088316607664966,0.5532371062906122,-0.26458392046391094,0.3909741202231964,Edad+Genero+Grupo+eTIV,-0.0656980396595879,17,0.24495536280124014,19,area_CSE_NI,B,0.8283662970165219,False,32,1,2,False
13_middletemporal_area_lh,Temporal medio,lh,area,EntropyRatio_NI,36,-0.021009385577197275,0.9091339539601729,-0.324015231854142,0.2682971972050409,Edad+Genero+Grupo+eTIV,0.245590024895343,17,-0.09784053334687835,19,area_EntropyRatio_NI,B,0.9322826549021819,False,32,1,2,False
13_middletemporal_area_rh,Temporal medio,rh,area,CSE_NI,36,0.0723742614840278,0.6938477383256925,-0.3175973061403142,0.41741292905073635,Edad+Genero+Grupo+eTIV,-0.08518635390896875,17,0.2350016518496841,19,area_CSE_NI,B,0.8539664471700831,False,32,1,2,False
13_middletemporal_area_rh,Temporal medio,rh,area,EntropyRatio_NI,36,-0.04380033012216537,0.8118591381859896,-0.430510672897963,0.3426855151676862,Edad+Genero+Grupo+eTIV,-0.19834960042220914,17,0.12581506390347022,19,area_EntropyRatio_NI,B,0.9322826549021819,False,32,1,2,False
13_middletemporal_volume_lh,Temporal medio,lh,volume,CSE_NI,36,0.03289687641172449,0.8581441315621418,-0.3277294038453887,0.32568037918381704,Edad+Genero+Grupo+eTIV,-0.22352192706130178,17,0.23404558220008922,19,volume_CSE_NI,B,0.9567684641457884,False,86,1,2,False
13_middletemporal_volume_lh,Temporal medio,lh,volume,EntropyRatio_NI,36,-0.051571038307837894,0.7792399981381916,-0.3806279553349192,0.26329764112238074,Edad+Genero+Grupo+eTIV,0.035366543470199525,17,0.032616332857983744,19,volume_EntropyRatio_NI,B,0.9833513990742859,False,86,0,2,False
13_middletemporal_volume_rh,Temporal medio,rh,volume,CSE_NI,36,0.032337171104568754,0.8605339758387253,-0.29609997108241887,0.3098676695716429,Edad+Genero+Grupo+eTIV,-0.4696391824113578,17,0.29957352515373853,19,volume_CSE_NI,B,0.9567684641457884,False,86,1,2,False
13_middletemporal_volume_rh,Temporal medio,rh,volume,EntropyRatio_NI,36,-0.039080327726779246,0.8318284583112533,-0.37014394253918015,0.23860880321023398,Edad+Genero+Grupo+eTIV,-0.24026620955444303,17,0.3216496831533705,19,volume_EntropyRatio_NI,B,0.9833513990742859,False,86,1,2,False
13_middletemporal_LGI_lh,Temporal medio,lh,LGI,CSE_NI,35,0.04942123253908748,0.7882299219333915,-0.27172953071379485,0.41343728722700096,Edad+Genero+Grupo,-0.048053185654010816,17,0.2742769924460871,18,LGI_CSE_NI,B,0.8993563634817304,False,32,1,2,False
13_middletemporal_LGI_lh,Temporal medio,lh,LGI,EntropyRatio_NI,35,-0.08023089851129751,0.6624722982906485,-0.4340722643750718,0.28676270818456195,Edad+Genero+Grupo,-0.16662034785698795,17,0.21357684089181342,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,32,1,2,False
13_middletemporal_LGI_rh,Temporal medio,rh,LGI,CSE_NI,35,0.4210704442961441,0.016397394332301127,0.12877684589472738,0.7225905826339557,Edad+Genero+Grupo,0.3374777322321176,17,0.4732419806756158,18,LGI_CSE_NI,B,0.5247166186336361,False,32,2,2,True
13_middletemporal_LGI_rh,Temporal medio,rh,LGI,EntropyRatio_NI,35,0.13338825396997303,0.46673655898070004,-0.28018042779908703,0.4777808729179273,Edad+Genero+Grupo,-0.050814932461500886,17,0.2981946840448172,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,32,1,2,False
14_comp_thickness_lh,Cingulada anterior,lh,thickness,CSE_NI,36,0.14870101748895148,0.40886580726860255,-0.2232983843182506,0.4372662715364283,Edad+Genero+Grupo,0.28106654900990496,17,0.06540855296268913,19,thickness_CSE_NI,B,0.8851692565092167,False,32,2,2,True
14_comp_thickness_lh,Cingulada anterior,lh,thickness,EntropyRatio_NI,36,0.21219311005525077,0.2358140386364189,-0.08351221347780637,0.4612485791668305,Edad+Genero+Grupo,0.011186298013391311,17,0.37058926544531495,19,thickness_EntropyRatio_NI,B,0.6010247887081233,False,32,2,2,True
14_comp_thickness_rh,Cingulada anterior,rh,thickness,CSE_NI,36,0.20879399775770113,0.24357829004558074,-0.20707591264117284,0.5610291639593218,Edad+Genero+Grupo,0.5553151959942302,17,0.03182820539259739,19,thickness_CSE_NI,B,0.8851692565092167,False,32,2,2,True
14_comp_thickness_rh,Cingulada anterior,rh,thickness,EntropyRatio_NI,36,0.28230154802531937,0.11144364869634296,-0.1058883969619734,0.578831696825213,Edad+Genero+Grupo,0.5788133931561416,17,0.14938934767821535,19,thickness_EntropyRatio_NI,B,0.6010247887081233,False,32,2,2,True
14_comp_area_lh,Cingulada anterior,lh,area,CSE_NI,36,0.1264765794884837,0.4903374433109739,-0.1959802000150942,0.4271775658054858,Edad+Genero+Grupo+eTIV,0.1802087103156538,17,0.22072484269086937,19,area_CSE_NI,B,0.7923800571519417,False,32,2,2,True
14_comp_area_lh,Cingulada anterior,lh,area,EntropyRatio_NI,36,0.29565665277136466,0.1004017108796162,-0.08004752590388295,0.6116705414702801,Edad+Genero+Grupo+eTIV,0.4854464467622162,17,0.06100299051590424,19,area_EntropyRatio_NI,B,0.8032136870369296,False,32,2,2,True
14_comp_area_rh,Cingulada anterior,rh,area,CSE_NI,36,-0.2755581134745881,0.1268850434745629,-0.5990023696034384,0.09440549148746095,Edad+Genero+Grupo+eTIV,-0.3573277345141452,17,-0.22980919350538176,19,area_CSE_NI,B,0.6661314904520594,False,32,2,2,True
14_comp_area_rh,Cingulada anterior,rh,area,EntropyRatio_NI,36,0.02397835821877676,0.8963576022323922,-0.3194477381466913,0.374291620608048,Edad+Genero+Grupo+eTIV,0.14405735772194053,17,-0.2702945472368363,19,area_EntropyRatio_NI,B,0.9322826549021819,False,32,1,2,False
14_comp_volume_lh,Cingulada anterior,lh,volume,CSE_NI,36,0.08769362751157818,0.633180763333194,-0.29981506825325904,0.3816469301793494,Edad+Genero+Grupo+eTIV,0.11538422945628296,17,0.14753151397509132,19,volume_CSE_NI,B,0.9567684641457884,False,86,2,2,True
14_comp_volume_lh,Cingulada anterior,lh,volume,EntropyRatio_NI,36,0.2344429078586971,0.19651888924155353,-0.11725347454335165,0.5393607633913918,Edad+Genero+Grupo+eTIV,0.3623964291545067,17,0.1255447221890198,19,volume_EntropyRatio_NI,B,0.907099265718547,False,86,2,2,True
14_comp_volume_rh,Cingulada anterior,rh,volume,CSE_NI,36,-0.24514094025925276,0.17628123597918013,-0.5726426019578946,0.1500474510057459,Edad+Genero+Grupo+eTIV,-0.3475793867763288,17,-0.1426169596535869,19,volume_CSE_NI,B,0.9567684641457884,False,86,2,2,True
14_comp_volume_rh,Cingulada anterior,rh,volume,EntropyRatio_NI,36,0.056796960764893,0.7575052075497221,-0.28683876540502085,0.458882166748996,Edad+Genero+Grupo+eTIV,0.16673478780050546,17,-0.2040106781219546,19,volume_EntropyRatio_NI,B,0.9833513990742859,False,86,1,2,False
14_comp_LGI_lh,Cingulada anterior,lh,LGI,CSE_NI,35,0.04078833213345685,0.8245896715163746,-0.3029008628242749,0.39070937128879285,Edad+Genero+Grupo,-0.12822710271673707,17,0.3368889211932473,18,LGI_CSE_NI,B,0.8993563634817304,False,32,1,2,False
