variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,familia_fdr,roi,hemi,medida,atlas,tipo,ajusta_etiv,n_esperado,bloque,modelo,p_fdr,sobrevive_fdr,n_familia
amyg_lh_Central_nucleus,31,"Q('amyg_lh_Central_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.38552742176051064,2,22,0.684596771815021,0.7986539210082054,0.6891310868913109,0.033861182488891466,6.735066774596143e-05,0.11237050196838118,0.682191977554656,0.499086542054995,0.9536448105793561,13,13,5,52.809883923076924,50.60560569230769,55.870457599999995,-4.240703727485652,-0.4799123875827514,-2.3043269533634483,1.306365290929291,0.4661141312469583,0.2553547218316421,0.028898008941410376,-1.8149212598196371,1.0877452701922368,0.9519110515890719,A3,amigdala,Central nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.765701207657012,False,20
amyg_rh_Central_nucleus,31,"Q('amyg_rh_Central_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.37098620887184763,2,22,0.6942886664167933,0.7363076998782723,0.6827317268273173,0.03262568453230535,7.690673704630674e-05,0.1150912560017783,0.9220632663249813,0.20361387697772748,0.7835202035515629,13,13,5,58.941679615384615,56.57191307692308,56.42851520000001,8.151359065634745,0.5405769615681487,-1.945304512059192,2.08364216023495,0.41244264482196624,4.154971373631945,0.2755469097208383,-1.0862348176668892,1.2643811202870696,0.5667276168166908,A3,amigdala,Central nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.765701207657012,False,20
amyg_lh_Medial_nucleus,31,"Q('amyg_lh_Medial_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.7358311435037939,2,22,0.4905317950664843,0.6289077983327291,0.5031496850314968,0.06269953397472858,0.00043481425109931533,0.2604114925787767,0.7015040991987951,0.36747015361136365,0.6666232348728359,13,13,5,24.18211246153846,26.009300999999997,23.9290846,1.0112731396477044,0.15756771759555543,-1.413971460242773,1.609109983684129,0.80985951573538,-2.827211029294422,-0.4405112442738203,-1.9065035746698649,0.5840802205590978,0.3625441649198722,A3,amigdala,Medial nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7187852643307098,False,20
amyg_rh_Medial_nucleus,31,"Q('amyg_rh_Medial_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.285290300323481,2,22,0.12538281056339412,0.25791799389143905,0.1217878212178782,0.17201658741832965,0.005039217992149889,0.4348813239349294,0.6942311031795586,0.19201160344565216,0.15158109407263962,13,13,5,26.906151769230767,27.724161,23.0782332,6.2980224199707795,0.9693485578451402,-2.481882169518626,2.4816564342842056,0.14831468035829162,-1.938523887723509,-0.29836434512436305,-1.335115150695119,0.8439912860301346,0.5353155171123473,A3,amigdala,Medial nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_lh_Cortical_nucleus,31,"Q('amyg_lh_Cortical_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.4761698296396935,2,22,0.2502796160389854,0.4469540864053873,0.24477552244775522,0.11831915161436406,0.00361136053747165,0.39414498582527857,0.5322152873499044,0.07758051533352789,0.9579729336114049,13,13,5,26.359792153846154,28.44866976923077,26.125500799999998,1.220693940195705,0.29785919094647106,-1.5492244749403186,2.2581264342865306,0.6497910233585698,-2.4029347353669444,-0.586335503606106,-1.9676961291282724,0.5692523124502984,0.22889206973318008,A3,amigdala,Cortical nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_rh_Cortical_nucleus,31,"Q('amyg_rh_Cortical_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.5768006528391187,2,22,0.09875240520255452,0.40853994092824614,0.09859014098590141,0.1897943940349651,0.008523415577518914,0.5211987316946192,0.7661976326289014,0.25580527948441556,0.26103109184781437,13,13,5,28.538753615384618,29.312222230769233,26.2586966,5.465189958464969,1.1907941328202956,-2.458609804401507,2.8856058046821014,0.07924543558097488,-0.6406487331254205,-0.13958906431475246,-1.4767488820317312,0.8394382317313096,0.7710251406033951,A3,amigdala,Cortical nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_lh_Anterior_amygdaloid_area_AAA,31,"Q('amyg_lh_Anterior_amygdaloid_area_AAA') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.8999884823436424,2,22,0.17331533413421205,0.2429009706995934,0.17698230176982302,0.14728606036696681,0.0017039516238030105,0.3338047563114865,0.07594624219362835,0.005976810832048916,0.3991089423262922,13,13,5,50.91646438461539,55.96317884615385,61.773773399999996,-5.7594197598410535,-0.9458472297771304,-2.589204027833647,1.31063219565733,0.15793490795108903,-5.27747319502897,-0.8666990096028305,-1.8809069080745024,0.6261310457757391,0.08091898497186009,A3,amigdala,Anterior amygdaloid area AAA,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_rh_Anterior_amygdaloid_area_AAA,31,"Q('amyg_rh_Anterior_amygdaloid_area_AAA') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.8148236860615684,2,22,0.4556379002850859,0.6304755283875741,0.45555444455554445,0.06896621631542833,8.408628222671363e-05,0.22869766716409046,0.441016734926708,0.9955683648290716,0.777276512902772,13,13,5,56.86498076923077,60.55115161538461,63.791035,2.8572695775000634,0.4023636426753144,-1.8536455822497873,2.400745346715857,0.5404326196924719,-2.305487617327654,-0.32466113913634237,-1.3659711895963353,0.9313749409080289,0.500310653582747,A3,amigdala,Anterior amygdaloid area AAA,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_lh_Corticoamygdaloid_transitio,31,"Q('amyg_lh_Corticoamygdaloid_transitio') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.0255555264896077,2,22,0.15579759036144178,0.11441182846032977,0.1588841115888411,0.1555062678417291,0.007445937303662732,0.4305232063910166,0.2598682141397375,0.4957042400027814,0.7937833106285717,13,13,5,161.4221523076923,176.75466484615384,175.883775,0.25109773417551295,0.014494468177258754,-1.976541119681181,1.522732575405424,0.9823299784693585,-14.44503784241293,-0.8338312649998048,-1.8302553625358655,0.34177654744291835,0.09229431903101498,A3,amigdala,Corticoamygdaloid transitio,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_rh_Corticoamygdaloid_transitio,31,"Q('amyg_rh_Corticoamygdaloid_transitio') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.9437399849408687,2,22,0.1669790379191206,0.15337141430211848,0.16568343165683433,0.1501683429366067,0.0008084712432302224,0.3454846596240807,0.41090548289692885,0.4196094851384226,0.3314048390070118,13,13,5,168.11856500000002,180.2000196153846,181.85834440000002,5.776901131742111,0.2921821678982177,-2.2545908673313213,2.131450047955026,0.6560028428854648,-13.80612760667206,-0.6982816915858122,-1.6895427676433152,0.5523645251661763,0.15466112202358814,A3,amigdala,Corticoamygdaloid transitio,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
